economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,,,,,,,,,,,,,,,,,,,,,,,2.87873283396038,-1.47984765842362,-2.05979663783754,-1.68000151244139,7.33416326856482,6.29930728470922,-3.85130683469015e-05,9.14968388763926,-2.43518002884689,1.61802695724403,-2.25501102132812,6.36244854765916,-0.610743501629457,3.68870318992691,10.7236808968968,3.73515279859653,0.837487830689312,3.95443964452274,-0.704471567098452,5.37284733658829,0.416838324918672,1.73630772464104,1.88894682780982,4.93674843569836,5.10425334605135,2.23962592891962,3.44807967375395,2.84905880649025,4.10213479700481,3.25364627678042,1.14867050508138,3.83747957531439,5.46972737681895,3.58876018295895,2.3724791920374,3.87317627502672,1.58864979692109,1.30271469544245,3.35697458960871
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79831032268565,-22.2363560711782,17.6981032082566,-5.10925117357525,14.7004462865811,-14.916329759471,44.562954917559,-6.37513449490784,-7.59232352283006,18.2247894284155,0.00526744138815616,-0.100705133732006,-5.65721784655963,5.97175185809004,6.41105902186369,-4.41531137978744,17.459824809335,5.94234039802205
AFW,,,,,,,,,,,,,,,,,,,,,,,1.95939861710421,-1.83398604606398,-1.32045887696655,14.988834700464,7.39303386035033,-1.38020297825734,6.66989997148764,4.43158495646965,3.00100266930676,4.29881715492817,0.130343070626111,3.69384972549874,2.4414494554742,3.85575018184529,3.90446802164645,2.96650122808731,5.10267904685664,5.49470200238503,1.16215639791604,3.26199866514014,34.4832251098862,6.94389309719108,4.6389886639534,6.77069921802476,5.82782245790614,5.53599910643592,6.50165634673118,4.24038821742553,5.77441254119681,1.81024652228467,6.14257970474725,2.57890572654486,4.78570541406032,3.80682530889176,3.66815377189369,4.10869242059955,3.24851700561501,3.02982289317524,2.66913089324463
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02284241452462,9.07309617146548,4.54913415548393,16.3031075463946,5.57732278208786,4.75297178937919,5.73263173853888,8.53791152303313,9.15619378990731,7.11037705125143,4.01966962378451,17.3236807025067,10.2142450048262,3.88721345468279,0.470400353180381,-7.57424131682649,-4.40051673373098,0.803169739140614
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.1122775201628,6.233793571969,5.39532952401558,6.69542679214466,2.69306833996616,2.047752238386,2.94358257351558,6.30794535262285,0.678565770713746,3.11850449035613,2.7163257779187,7.07148161789127,1.90487705683854,7.65002576554889,4.77292229175745,5.39268208316818,1.13502794591503,1.96183841902031,0.76759260587103,2.04752052278951,0.835138066352542,1.17674579443054,0.625909607778709,0.329715009809377
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,0.799232288677814,5.97353018016568,4.0941676168228,3.24018750760007,-3.40644983986509,7.10435699443279,-1.26966242696362,10.3091565605221,5.56147527058491,-2.11356295361858,-2.70032947742138,3.02263484161102,2.79116951870857,9.02846595577311,-1.06736135203386,3.6904152631238,5.58861215625717,8.30472853396014,2.80444070341144,4.132744417567,9.32834909247278,-0.604383418263083,2.28873488644379,4.76445999528774,0.619349864344329,4.07300239283785,-0.344819430544646,11.2756120331683,0.985211982673121,5.73445484072246,2.55487384527807,-1.75745178359713,4.69317663303093,3.89366677826398,2.70311163003447,2.15096884201319,3.95131565123603,6.16955223624144,-5.11539816102683,0.931400963367722,6.56555227252953,2.54928229357748,5.73795304009937,-2.77966245229274,4.85276994421027,-1.10255740438072,0.175446071492559,0.231636391899713,2.24987726072645,3.01391788193075,4.35058079144963,0.493838995096468
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2102793327829,-3.11660519983526,-1.97084508782491,-4.01358596294263,-8.64192402490343,-1.84234403898043,-10.8917132262257,-0.410620034272952,-10.8098850216006,5.33441618957428,2.27122628475654,0.517321737443893,-0.16613158384061,1.31652935234092,3.42546395405651,3.31100970949008,5.40133253036934,3.80383614217288,6.87527691369836
ARG,,,,,,,0.917483060365726,2.54551933109191,-4.25536637397468,4.44449596057359,-9.29089487741325,1.5736160933038,1.9242215853497,10.7147354040328,2.72839649104786,-2.74721309647506,4.7196440887087,2.44491136272471,2.78440231690642,2.86384178045319,-6.00653190815062,3.49410370499052,7.478221151832,2.02751251912991,0.358310210224005,-1.69511856005393,0.178732595604259,-2.72799233875067,7.86617331216901,-8.21771523949626,8.48051072269298,4.09314789704682,0.187998715837352,2.42567218738452,7.27758854713385,5.55249833387779,-0.890091314004636,0.608914674994622,8.29607710307347,2.37434949184249,-1.76587673522218,1.49112622436698,-2.65050666356152,6.7704180376591,0.38332477044824,18.7884794494551,-0.525550810177648,8.5375829282499,-2.18582133728721,-26.1014564806975,39.5239778173383,-2.42848319291828,-12.8751530933275,11.4766196176651,3.10425319146779,7.54196172215384,-4.71694335251273,3.44506458176149,-14.5815222472444,21.2655694201054,-7.13572298632978
