"Country";"value_2010";"value_2011";"value_2012";"value_2013";"value_2014";"value_2015";"value_2016";"value_2017";"value_2018";"value_2019";"value_2020";"value_2021"
"Equatorial Guinea";0.80048;0.80027;0.80011;0.80004;0.79984;0.79966;0.79959;0.79947;0.79927;0.79911;0.79903;0.79885
"Eritrea";0.91699;0.91443;0.91179;0.90977;0.90768;0.90487;0.90237;0.89943;0.89787;0.89442;0.89297;0.89055
"Estonia";0.98622;0.98619;0.98617;0.98601;0.98585;0.98569;0.98553;0.98553;0.98553;0.98553;0.98553;0.98553
"Eswatini";0.81257;0.81247;0.81242;0.8124;0.81238;0.81236;0.81235;0.81234;0.81233;0.81231;0.8123;0.81229
"Ethiopia";0.84892;0.84903;0.84881;0.84904;0.84885;0.84891;0.84894;0.84892;0.84897;0.84853;0.84879;0.84879
"Falkland Islands (Malvinas)";0.73006;0.7301;0.73037;0.73035;0.73052;0.73054;0.73075;0.7308;0.73085;0.73101;0.73122;0.7312
"Faroe Islands";0.874;0.87597;0.87528;0.8755;0.87251;0.87117;0.87214;0.87081;0.87072;0.87066;0.87072;0.87213
"Fiji";0.71785;0.71628;0.71401;0.71238;0.71038;0.7088;0.70701;0.70485;0.7025;0.70099;0.69878;0.69797
"Fiji";0.71785;0.71628;0.71401;0.71238;0.71038;0.7088;0.70701;0.70485;0.7025;0.70099;0.69878;0.69797
"Finland";0.99038;0.99031;0.99024;0.99017;0.99011;0.99005;0.98998;0.98998;0.98998;0.98998;0.98998;0.98998
"France";0.87557;0.87219;0.86891;0.86525;0.86145;0.8574;0.85364;0.84995;0.84694;0.84299;0.83907;0.83641
"French Guiana";0.94175;0.9408;0.94009;0.93959;0.93905;0.93858;0.93842;0.938;0.93786;0.93736;0.93717;0.93674
"French Polynesia";0.73764;0.73525;0.73298;0.73055;0.72871;0.72501;0.72341;0.72034;0.71737;0.71471;0.71305;0.70957
"French Polynesia";0.73764;0.73525;0.73298;0.73055;0.72871;0.72501;0.72341;0.72034;0.71737;0.71471;0.71305;0.70957
"French Southern Territories";0.83582;0.83374;0.83054;0.82847;0.82606;0.8242;0.82188;0.81811;0.81718;0.81413;0.81304;0.80977
"Gabon";0.95323;0.95334;0.95335;0.95329;0.9533;0.95334;0.95346;0.95335;0.95328;0.9531;0.95332;0.9531
"Gambia";0.97962;0.97956;0.97952;0.97948;0.97944;0.9794;0.97937;0.97932;0.9793;0.97926;0.97923;0.9792
"Georgia";0.88877;0.88867;0.8886;0.88853;0.88849;0.88837;0.88834;0.88827;0.88816;0.88814;0.88806;0.88797
"Germany";0.98164;0.98167;0.9817;0.98171;0.9817;0.98169;0.98168;0.9817;0.98173;0.98176;0.98179;0.98183
"Ghana";0.83933;0.8394;0.83944;0.83919;0.8393;0.83926;0.83915;0.83924;0.83931;0.83929;0.83926;0.83919
"Gibraltar";0.94648;0.94572;0.94452;0.94297;0.94194;0.94044;0.93907;0.9373;0.93583;0.93414;0.93263;0.93148
"Greece";0.84251;0.84238;0.84176;0.84105;0.84012;0.83915;0.83838;0.83741;0.83634;0.83543;0.83502;0.8341
"Greenland";0.92744;0.92592;0.92358;0.92099;0.91858;0.91603;0.91359;0.91243;0.91133;0.91076;0.9101;0.90956
"Grenada";0.69614;0.69518;0.69391;0.69287;0.69162;0.69061;0.68892;0.68782;0.68634;0.68551;0.6844;0.68325
"Guadeloupe";0.62467;0.62415;0.62389;0.62351;0.62298;0.62271;0.62212;0.62183;0.62127;0.62092;0.62062;0.62011
"Guam";0.50861;0.49515;0.48318;0.47125;0.46078;0.45023;0.44033;0.43054;0.41904;0.40752;0.39469;0.38398
"Guam";0.50861;0.49515;0.48318;0.47125;0.46078;0.45023;0.44033;0.43054;0.41904;0.40752;0.39469;0.38398
"Guatemala";0.7315;0.72936;0.72848;0.72695;0.72576;0.72408;0.72198;0.72115;0.72014;0.71813;0.71678;0.71522
"Guinea";0.89243;0.89218;0.89215;0.89228;0.89221;0.89238;0.89235;0.89246;0.89272;0.89271;0.89255;0.89256
"Guinea-Bissau";0.91914;0.91905;0.91896;0.91888;0.91883;0.9188;0.91875;0.91872;0.91867;0.91862;0.91856;0.91854
"Guyana";0.87669;0.87637;0.87584;0.87542;0.87524;0.87521;0.87517;0.87509;0.87512;0.87495;0.87493;0.87481
"Haiti";0.73742;0.73538;0.73397;0.73167;0.73007;0.72811;0.7264;0.72497;0.72294;0.72087;0.71879;0.717
"Heard Island and McDonald Islands";0.91384;0.91435;0.91496;0.91551;0.91541;0.91646;0.91653;0.91734;0.9177;0.91833;0.91846;0.91893
"Holy See";0.93356;0.93364;0.93372;0.93372;0.93372;0.93372;0.93372;0.93372;0.93372;0.93372;0.93372;0.93372
"Honduras";0.75823;0.75669;0.75518;0.754;0.75155;0.75036;0.74885;0.74734;0.74602;0.74462;0.74273;0.74116
"Hungary";0.86384;0.86392;0.864;0.86407;0.86412;0.86417;0.86426;0.86432;0.86436;0.86442;0.86448;0.86455
"Iceland";0.87808;0.87685;0.87497;0.87142;0.86953;0.86705;0.86601;0.86534;0.86515;0.86531;0.86549;0.86552
"India";0.71159;0.7085;0.70425;0.69973;0.69628;0.69324;0.68934;0.68567;0.68257;0.67899;0.67496;0.67147
"Indonesia";0.80204;0.79733;0.79323;0.78855;0.78485;0.78061;0.77608;0.77231;0.76887;0.76517;0.75993;0.75634
"Iran (Islamic Republic of)";0.87068;0.86779;0.86409;0.86049;0.85743;0.85506;0.8521;0.84863;0.84529;0.84213;0.83841;0.83583
"Iran (Islamic Republic of)";0.87068;0.86779;0.86409;0.86049;0.85743;0.85506;0.8521;0.84863;0.84529;0.84213;0.83841;0.83583
"Iraq";0.82418;0.82067;0.82018;0.81666;0.81465;0.81217;0.81022;0.80706;0.80492;0.80252;0.80082;0.79743
"Ireland";0.91874;0.91882;0.91878;0.91796;0.9166;0.9159;0.91547;0.91511;0.91509;0.91528;0.91542;0.9154
"Israel";0.72436;0.72435;0.72438;0.72439;0.72438;0.7245;0.72446;0.72448;0.72447;0.72449;0.72448;0.72448
"Italy";0.90096;0.90064;0.90028;0.89968;0.89913;0.89857;0.89777;0.89708;0.89646;0.89573;0.89481;0.89438
"Jamaica";0.68204;0.68051;0.67867;0.6771;0.67578;0.67387;0.67221;0.67045;0.66851;0.66683;0.66541;0.66297
"Japan";0.79886;0.79625;0.79335;0.78947;0.78705;0.78365;0.7802;0.77701;0.77391;0.77035;0.76819;0.76475
"Jordan";0.9658;0.96575;0.96572;0.96568;0.96564;0.96561;0.96558;0.96556;0.96554;0.96551;0.96547;0.96543
"Kazakhstan";0.87279;0.87218;0.87178;0.87126;0.87061;0.87027;0.8695;0.86923;0.8687;0.86795;0.86776;0.86703
"Kenya";0.82623;0.82283;0.81967;0.81672;0.81341;0.8095;0.807;0.80283;0.80103;0.79722;0.79397;0.79102
"Kiribati";0.8046;0.802;0.79784;0.7945;0.79148;0.78667;0.78365;0.77928;0.77545;0.7722;0.76912;0.76535
"Kiribati";0.8046;0.802;0.79784;0.7945;0.79148;0.78667;0.78365;0.77928;0.77545;0.7722;0.76912;0.76535
"Kuwait";0.87175;0.86659;0.86417;0.86104;0.85749;0.85549;0.8528;0.84826;0.84489;0.84185;0.83791;0.83595
"Kyrgyzstan";0.98534;0.98517;0.98483;0.9846;0.9844;0.98423;0.984;0.9837;0.98363;0.98331;0.98307;0.9829
"Lao People's Democratic Republic";0.81787;0.81748;0.81734;0.81681;0.81645;0.81614;0.81584;0.81549;0.81496;0.81471;0.81443;0.81408
"Latvia";0.98882;0.98882;0.98882;0.98878;0.9887;0.98861;0.98853;0.98853;0.98853;0.98853;0.98853;0.98853
"Lebanon";0.93168;0.93165;0.93162;0.9316;0.93158;0.93157;0.93155;0.93153;0.93151;0.93149;0.93148;0.93146
"Lesotho";0.94172;0.94165;0.94159;0.94155;0.94152;0.94148;0.94146;0.94143;0.94141;0.9414;0.94138;0.94136
"Liberia";0.90147;0.90157;0.9017;0.90165;0.90186;0.90181;0.90206;0.902;0.90204;0.90203;0.90215;0.90228
"Libya";0.96815;0.96808;0.96804;0.96799;0.96794;0.96794;0.96796;0.96784;0.96793;0.96786;0.96762;0.96769
"Liechtenstein";0.99075;0.99077;0.99079;0.99082;0.99084;0.99087;0.99089;0.99091;0.99093;0.99095;0.99098;0.991
"Lithuania";0.98877;0.98883;0.98886;0.98886;0.98886;0.98885;0.98884;0.98884;0.98884;0.98884;0.98884;0.98884
"Luxembourg";0.98388;0.98395;0.98404;0.98415;0.98425;0.98435;0.98445;0.98457;0.98467;0.98478;0.98491;0.98504
"Madagascar";0.78359;0.78152;0.77723;0.77241;0.76886;0.76559;0.76135;0.75656;0.75297;0.74972;0.74661;0.74038
"Malawi";0.80736;0.8074;0.80734;0.80748;0.80743;0.80748;0.80746;0.80752;0.8075;0.80757;0.80759;0.80761
"Malaysia";0.74818;0.74429;0.74095;0.73625;0.73129;0.72841;0.7235;0.72046;0.71557;0.71255;0.70844;0.70357
"Maldives";0.8886;0.88563;0.88047;0.87443;0.87106;0.86635;0.86129;0.85728;0.8506;0.84743;0.84449;0.8403
"Maldives";0.8886;0.88563;0.88047;0.87443;0.87106;0.86635;0.86129;0.85728;0.8506;0.84743;0.84449;0.8403
"Mali";0.98109;0.98085;0.98067;0.98044;0.98031;0.98016;0.98006;0.97994;0.97977;0.97961;0.97951;0.97939
"Malta";0.87242;0.87242;0.87242;0.87242;0.87242;0.87242;0.87242;0.87242;0.87242;0.87242;0.87242;0.87242
"Marshall Islands";0.87426;0.87084;0.8664;0.86331;0.86052;0.85656;0.85252;0.8494;0.84635;0.84314;0.83976;0.83478
"Marshall Islands";0.87426;0.87084;0.8664;0.86331;0.86052;0.85656;0.85252;0.8494;0.84635;0.84314;0.83976;0.83478
"Martinique";0.77452;0.77302;0.77141;0.76994;0.76807;0.76681;0.76487;0.76359;0.76131;0.75967;0.75898;0.75639
"Mauritania";0.97776;0.97754;0.9773;0.97708;0.97678;0.97661;0.97634;0.97605;0.97592;0.97569;0.97553;0.97533
"Mauritius";0.46849;0.46416;0.45811;0.45185;0.44442;0.43897;0.43283;0.4275;0.41909;0.4166;0.41066;0.40317
